Currency_Code,Currency_Description," Number of FCEs
 ",National_Average_Unit_Cost,Total Costs,No. Data Submissions,
AA22C,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 14+",93,5053.00,469909.00,25,"£411,860.78"
AA22D,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",94,3800.00,357223.00,37,"£268,332.20"
AA22E,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",159,3413.00,542727.00,51,"£488,368.46"
AA22F,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",258,3209.00,827811.00,60,"£666,723.33"
AA22G,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",305,2174.00,663220.00,67,"£965,371.72"
AA23C,Haemorrhagic Cerebrovascular Disorders with CC Score 14+,68,13797.00,938165.00,30,"£407,595.47"
AA23D,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,69,4431.00,305721.00,37,"£449,784.50"
AA23E,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,143,4505.00,644232.00,44,"£669,725.92"
AA23F,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,139,3560.00,494830.00,44,"£563,334.70"
AA23G,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,100,2765.00,276520.00,28,"£386,499.21"
AA24C,"Brain Tumours or Cerebral Cysts, with CC Score 11+",266,7209.00,1917500.00,49,"£979,975.50"
AA24D,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",216,3688.00,796526.00,50,"£800,824.23"
AA24E,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",238,2917.00,694336.00,49,"£643,765.42"
AA24F,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",283,2667.00,754703.00,59,"£891,440.68"
AA24G,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",367,2697.00,989920.00,66,"£1,063,824.67"
AA24H,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",253,2886.00,730251.00,46,"£941,018.50"
AA25C,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 14+",177,9631.00,1704694.00,57,"£642,765.08"
AA25D,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",205,4556.00,934000.00,55,"£814,621.30"
AA25E,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",338,4391.00,1484004.00,68,"£1,234,476.11"
AA25F,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",630,3080.00,1940286.00,83,"£2,088,421.38"
AA25G,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4","2,001",1560.00,3121398.00,92,"£4,795,695.30"
AA26C,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 15+",289,7748.00,2239289.00,64,"£760,464.22"
AA26D,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 12-14",470,5304.00,2492807.00,67,"£965,999.34"
AA26E,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",650,4848.00,3151190.00,90,"£1,345,646.57"
AA26F,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",801,3972.00,3181859.00,100,"£2,315,928.53"
AA26G,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5","1,152",3051.00,3514841.00,115,"£3,789,946.29"
AA26H,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2","1,326",2358.00,3126769.00,108,"£4,304,661.28"
AA28C,Motor Neuron Disease with CC Score 8+,213,4985.00,1061871.00,44,"£219,802.73"
AA28D,Motor Neuron Disease with CC Score 5-7,159,3373.00,536353.00,35,"£481,966.47"
AA28E,Motor Neuron Disease with CC Score 2-4,296,2352.00,696234.00,44,"£480,226.46"
AA28F,Motor Neuron Disease with CC Score 0-1,145,1864.00,270306.00,33,"£818,224.16"
AA29C,Transient Ischaemic Attack with CC Score 11+,22,2271.00,49960.00,14,"£372,522.49"
AA29D,Transient Ischaemic Attack with CC Score 8-10,35,2090.00,73134.00,21,"£64,513.30"
AA29E,Transient Ischaemic Attack with CC Score 5-7,43,862.00,37053.00,20,"£57,623.39"
AA29F,Transient Ischaemic Attack with CC Score 0-4,43,865.00,37203.00,24,"£31,699.59"
AA30C,"Medical Care of Patients with Multiple Sclerosis, with CC Score 8+",190,4153.00,789138.00,41,"£54,719.95"
AA30D,"Medical Care of Patients with Multiple Sclerosis, with CC Score 5-7",178,3625.00,645279.00,48,"£483,390.85"
