id,National_Average_Unit_Cost,Total Costs,No. Data Submissions,
93,5053,469909,25,"£411,860.78"
94,3800,357223,37,"£268,332.20"
159,3413,542727,51,"£488,368.46"
258,3209,827811,60,"£666,723.33"
305,2174,663220,67,"£965,371.72"
68,13797,938165,30,"£407,595.47"
69,4431,305721,37,"£449,784.50"
143,4505,644232,44,"£669,725.92"
139,3560,494830,44,"£563,334.70"
100,2765,276520,28,"£386,499.21"
266,7209,1917500,49,"£979,975.50"
216,3688,796526,50,"£800,824.23"
238,2917,694336,49,"£643,765.42"
283,2667,754703,59,"£891,440.68"
367,2697,989920,66,"£1,063,824.67"
253,2886,730251,46,"£941,018.50"
177,9631,1704694,57,"£642,765.08"
205,4556,934000,55,"£814,621.30"
338,4391,1484004,68,"£1,234,476.11"
630,3080,1940286,83,"£2,088,421.38"
"2,001",1560,3121398,92,"£4,795,695.30"
289,7748,2239289,64,"£760,464.22"
470,5304,2492807,67,"£965,999.34"
650,4848,3151190,90,"£1,345,646.57"
801,3972,3181859,100,"£2,315,928.53"
"1,152",3051,3514841,115,"£3,789,946.29"
"1,326",2358,3126769,108,"£4,304,661.28"
213,4985,1061871,44,"£219,802.73"
159,3373,536353,35,"£481,966.47"
296,2352,696234,44,"£480,226.46"
145,1864,270306,33,"£818,224.16"
22,2271,49960,14,"£372,522.49"
35,2090,73134,21,"£64,513.30"
43,862,37053,20,"£57,623.39"
43,865,37203,24,"£31,699.59"
190,4153,789138,41,"£54,719.95"
178,3625,645279,48,"£483,390.85"
411,2945,1210359,57,"£465,391.91"
715,2030,1451168,52,"£921,931.47"
57,2781,158534,23,"£1,477,377.02"
130,2653,344833,36,"£77,698.70"
835,1724,1439860,84,"£278,143.92"
18,1444,25988,3,"£1,422,609.66"
125,1952,243961,21,"£65,304.02"
210,1186,248995,36,"£193,332.13"
390,11782,4594948,73,"£334,996.25"
343,7769,2664740,78,"£1,513,493.54"
320,6977,2232769,86,"£1,529,491.82"
303,4850,1469584,84,"£1,843,527.00"
285,3107,885636,74,"£1,744,073.06"
148,2887,427307,51,"£1,294,782.64"
"1,004",795,798677,29,"£801,641.87"
"1,358",490,665250,33,"£2,403,251.94"
137,24711,3385402,22,"£2,232,241.39"
243,15531,3774109,28,"£4,058,005.47"
276,11946,3297090,28,"£813,977.53"
25,30289,757223,8,"£419,182.82"
51,15383,784512,11,"£1,037,538.26"
100,9240,924016,19,"£1,251,540.01"
204,14380,2933448,25,"£2,055,129.36"
355,10921,3876872,26,"£5,055,748.89"
732,9364,6854411,32,"£6,276,956.04"
776,8960,6952732,35,"£540,363.80"
64,12250,783981,11,"£880,143.80"
96,9578,919526,17,"£2,680,754.36"
245,9732,2384235,21,"£1,569,715.10"
318,13292,4226755,27,"£3,434,820.23"
533,9796,5221438,31,"£9,662,883.47"
"1,221",8427,10289570,41,"£12,991,653.86"
"1,158",8114,9396031,43,"£532,924.55"
94,10747,1010224,14,"£824,886.70"
141,7626,1075308,16,"£1,558,741.24"
223,7120,1587664,16,"£1,107,060.24"
217,11683,2535216,26,"£3,005,861.24"
577,7869,4540551,37,"£10,841,154.67"
"1,435",7345,10540675,40,"£22,136,543.88"
"1,696",6979,11837146,50,"£435,821.50"
76,9435,717055,14,"£969,026.81"
151,7399,1117272,17,"£2,631,455.32"
327,6996,2287529,24,"£1,568,155.74"
456,5376,2451597,45,"£1,101,852.30"
224,4157,931229,38,"£1,436,009.72"
198,4279,847240,42,"£490,619.50"
78,3423,266976,34,"£365,108.61"
44,3106,136643,22,"£422,504.19"
57,2513,143220,31,"£163,721.74"
92,6014,553265,16,"£470,958.18"
101,7282,735517,17,"£2,675,495.94"
379,2320,879351,38,"£351,039.34"
50,2368,118405,16,"£14,685,211.72"
773,7715,5963857,32,"£1,475,612.05"
146,6941,1013454,15,"£3,345,133.16"
231,9413,2174294,27,"£372,576.03"
34,6651,226118,11,"£771,323.22"
283,3626,1026066,3,"£321,149.02"
265,3407,902894,9,"£1,408,036.00"
288,2787,802793,10,"£8,677,230.27"
"3,808",2126,8096765,46,"£549,030.90"
395,994,392797,23,"£2,160.40"
246,12219,3005930,19,"£8,272,090.52"
118,14122,1666343,16,"£318,188.90"
752,5007,3765288,25,"£2,013,056.95"
56,4394,246057,15,"£118,335.06"
264,3731,984913,20,"£418,446.94"
154,1298,199847,33,"£271,006.98"
772,804,620389,44,"£76,079.55"
65,816,53050,27,"£315,912.24"
726,1225,889653,70,"£704,747.37"
255,714,181966,30,"£350,962.70"
42,1003,42109,18,"£30,027.29"
7,666,4665,4,"£3,173.57"
175,1013,177269,33,"£858,101.35"
219,1068,233903,43,"£63,203.61"
541,968,523727,59,"£276,146.40"
76,1107,84105,41,"£538,897.47"
93,3729,346763,38,"£850,660.04"
53,2485,131728,30,"£1,350,767.51"
220,1494,328757,58,"£512,936.78"
445,1196,532219,82,"£769,531.55"
51,2784,141989,24,"£110,047.96"
33,1975,65166,19,"£213,380.90"
472,1547,730040,68,"£73,523.80"
432,1446,624570,61,"£304,588.53"
63,2201,138632,29,"£1,024,899.28"
97,2581,250369,33,"£2,783,092.54"
48,620,29758,13,"£285,182.88"
410,1624,665959,74,"£194,596.13"
"1,372",1336,1833641,95,"£554,973.59"
"2,852",1218,3473832,100,"£280,869.63"
59,4217,248807,33,"£733,585.15"
88,3652,321382,37,"£124,356.39"
134,3018,404366,46,"£178,705.07"
124,2796,346749,57,"£390,806.79"
246,2457,604438,65,"£53,934.85"
46,3130,143958,20,"£135,145.35"
123,2490,306301,48,"£576,776.90"
235,1883,442473,61,"£130,551.01"
33,2261,74626,21,"£66,070.73"
99,2129,210801,36,"£39,066.31"
283,1538,435252,64,"£25,726.35"
56,1675,93772,27,"£773,629.99"
40,1700,68013,18,"£1,375,686.55"
160,982,157128,43,"£1,264,165.09"
28,1662,46542,20,"£237,829.06"
