Drug,Strength,StrengthUnit,Preparation,UnitCost,Size,SizeUnit
Buprenorphine,0.2,mg,,0.1,,
Buprenorphine,0.4,mg,,0.2,,
Buprenorphine,2,mg,,0.85,,
Buprenorphine,8,mg,,2.52,,
Buprenorphine,0.3,mg/ml,300micrograms/1ml,0.49,,
Buprenorphine,50,mg/ml,16mg/0.32ml,55.93,,
Buprenorphine,50,mg/ml,24mg/0.48ml,55.93,,
Buprenorphine,50,mg/ml,32mg/0.64ml,55.93,,
Buprenorphine,50,mg/ml,8mg/0.16ml,55.93,,
Buprenorphine,355.5555556,mg/ml,128mg/0.36ml,239.7,,
Buprenorphine,355.5555556,mg/ml,64mg/0.18ml,239.7,,
Buprenorphine,355.5555556,mg/ml,96mg/0.27ml,239.7,,
Buprenorphine,5,microgram/hour,,4.4,,
Buprenorphine,10,microgram/hour,,7.89,,
Buprenorphine,15,microgram/hour,,12.29,,
Buprenorphine,20,microgram/hour,,14.37,,
Buprenorphine,35,microgram/hour,,3.95,,
Buprenorphine,52.5,microgram/hour,,5.93,,
Buprenorphine,70,microgram/hour,,7.9,,
Morphine,2,mg/ml,10mg/5ml,2.08,100,ml
Morphine,2,mg/ml,10mg/5ml,6.57,300,ml
Morphine,2,mg/ml,10mg/5ml,9.61,500,ml
Morphine,20,mg/ml,20mg/ml,19.5,120,ml
