"","block","predation","ttt"
"1","1",0,"none"
"2","1",1,"none"
"3","2",1,"none"
"4","2",1,"none"
"5","3",1,"none"
"6","3",1,"none"
"7","4",1,"none"
"8","4",1,"none"
"9","5",1,"none"
"10","5",1,"none"
"11","6",1,"none"
"12","6",1,"none"
"13","7",1,"none"
"14","7",1,"none"
"15","8",1,"none"
"16","8",1,"none"
"17","9",1,"none"
"18","9",1,"none"
"19","10",1,"none"
"20","10",0,"none"
"21","1",0,"shrimp"
"22","1",0,"shrimp"
"23","2",0,"shrimp"
"24","2",0,"shrimp"
"25","3",0,"shrimp"
"26","3",0,"shrimp"
"27","4",0,"shrimp"
"28","4",0,"shrimp"
"29","5",0,"shrimp"
"30","5",1,"shrimp"
"31","6",1,"shrimp"
"32","6",1,"shrimp"
"33","7",1,"shrimp"
"34","7",1,"shrimp"
"35","8",1,"shrimp"
"36","8",1,"shrimp"
"37","9",1,"shrimp"
"38","9",1,"shrimp"
"39","10",1,"shrimp"
"40","10",1,"shrimp"
"41","1",0,"crabs"
"42","1",0,"crabs"
"43","2",0,"crabs"
"44","2",0,"crabs"
"45","3",0,"crabs"
"46","3",0,"crabs"
"47","4",0,"crabs"
"48","4",0,"crabs"
"49","5",1,"crabs"
"50","5",1,"crabs"
"51","6",1,"crabs"
"52","6",1,"crabs"
"53","7",1,"crabs"
"54","7",1,"crabs"
"55","8",1,"crabs"
"56","8",1,"crabs"
"57","9",1,"crabs"
"58","9",1,"crabs"
"59","10",1,"crabs"
"60","10",1,"crabs"
"61","1",0,"both"
"62","1",0,"both"
"63","2",0,"both"
"64","2",0,"both"
"65","3",0,"both"
"66","3",0,"both"
"67","4",0,"both"
"68","4",0,"both"
"69","5",0,"both"
"70","5",0,"both"
"71","6",0,"both"
"72","6",1,"both"
"73","7",1,"both"
"74","7",1,"both"
"75","8",1,"both"
"76","8",1,"both"
"77","9",1,"both"
"78","9",1,"both"
"79","10",1,"both"
"80","10",1,"both"
